SECTOR_NAME,LQBK
44,13,00,N,18,10,30,E
44,13,00,N,18,15,00,E
44,18,00,N,18,25,30,E
44,18,00,N,18,50,00,E
43,31,00,N,18,50,00,E
43,31,00,N,18,15,00,E
43,55,55,N,17,43,45,E
44,06,57,N,17,39,41,E
44,22,14,N,17,45,35,E
44,13,00,N,18,10,30,E
SECTOR_NAME,LQTZ
44,18,00,N,18,25,30,E
44,13,00,N,18,15,00,E
44,13,00,N,18,10,30,E
44,27,50,N,17,47,29,E
44,59,02,N,17,58,10,E
45,03,00,N,18,03,00,E
45,02,00,N,18,20,00,E
44,45,00,N,18,45,00,E
44,38,00,N,19,00,00,E
44,18,00,N,19,00,00,E
44,18,00,N,18,25,30,E
SECTOR_NAME,LQBK
44,22,14,N,17,45,35,E
44,59,02,N,17,58,10,E
45,02,41,N,17,51,42,E
45,12,05,N,16,40,33,E
45,07,49,N,16,26,28,E
44,57,29,N,16,48,15,E
44,22,14,N,17,45,35,E
SECTOR_NAME,LQMO
43,27,27,N,17,17,24,E
43,40,03,N,18,03,43,E
43,31,00,N,18,15,00,E
43,00,00,N,18,15,00,E
42,51,35,N,17,51,34,E
43,27,27,N,17,17,24,E
